date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:00	8483/8483	---MCZ	200	added ('OK')	text/html	etag:%22261cff343892c027efe2ebca8425e9192099c89c%22	https://app.jusfy.com.br/dashboard	E:/Sites/JusfyRepo/app.jusfy.com.br/index.html	(from )
13:13:01	8483/8483	---MCZ	200	added ('OK')	text/html	etag:%22261cff343892c027efe2ebca8425e9192099c89c%22	https://app.jusfy.com.br/jusfinder/query	E:/Sites/JusfyRepo/app.jusfy.com.br/jusfinder/index.html	(from )
13:13:01	8483/8483	---MCZ	200	added ('OK')	text/html	etag:%22261cff343892c027efe2ebca8425e9192099c89c%22	https://app.jusfy.com.br/oportunidades	E:/Sites/JusfyRepo/app.jusfy.com.br/index-2.html	(from )
13:13:01	3039/3039	---MCZ	200	added ('OK')	text/html	etag:%22261cff343892c027efe2ebca8425e9192099c89c%22	https://app.jusfy.com.br/robots.txt		(from )
13:13:01	1357/1357	---M--	200	added ('OK')	image/png	etag:%22f8812fae4b17741d46da5ebf1760c89164817744%22	https://app.jusfy.com.br/media/favicon.png	E:/Sites/JusfyRepo/app.jusfy.com.br/media/favicon.png	(from https://app.jusfy.com.br/dashboard)
13:13:02	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Apr%202026%2016:13:02%20GMT	https://fonts.gstatic.com/	E:/Sites/JusfyRepo/fonts.gstatic.com/index.html	(from https://app.jusfy.com.br/dashboard)
13:13:02	741/741	---MC-	200	added ('OK')	text/css	date:Thu,%2023%20Apr%202026%2016:13:02%20GMT	https://fonts.googleapis.com/css2?family=Inter&family=Roboto:wght@300;500&display=swap	E:/Sites/JusfyRepo/fonts.googleapis.com/css25db0.css	(from https://app.jusfy.com.br/dashboard)
13:13:02	2101/2101	---MC-	200	added ('OK')	text/css	date:Thu,%2023%20Apr%202026%2016:13:03%20GMT	http://fonts.googleapis.com/css?family=Poppins:300,400,500,600,700%7CRoboto:300,400,500,600,700	E:/Sites/JusfyRepo/fonts.googleapis.com/css7fe9.css	(from https://app.jusfy.com.br/dashboard)
13:13:02	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Apr%202026%2016:13:02%20GMT	https://fonts.googleapis.com/	E:/Sites/JusfyRepo/fonts.googleapis.com/index.html	(from https://app.jusfy.com.br/dashboard)
13:13:02	475/475	---MC-	200	added ('OK')	text/css	date:Thu,%2023%20Apr%202026%2016:13:03%20GMT	https://fonts.googleapis.com/icon?family=Material+Icons	E:/Sites/JusfyRepo/fonts.googleapis.com/icone91f.css	(from https://app.jusfy.com.br/dashboard)
13:13:03	711/711	---MC-	200	added ('OK')	text/css	date:Thu,%2023%20Apr%202026%2016:13:03%20GMT	https://fonts.googleapis.com/css?family=Roboto:300,400,500	E:/Sites/JusfyRepo/fonts.googleapis.com/css7dfd.css	(from https://app.jusfy.com.br/dashboard)
13:13:03	993/993	---M--	200	added ('OK')	text/css	etag:%2244702b22ac0af9e362a944c0afe7e37f817704ce%22	https://app.jusfy.com.br/css/splash-screen.css	E:/Sites/JusfyRepo/app.jusfy.com.br/css/splash-screen.css	(from https://app.jusfy.com.br/dashboard)
13:13:03	3549/3549	---MCZ	200	added ('OK')	text/css	date:Fri,%2017%20Apr%202026%2010:17:33%20GMT	https://fonts.cdnfonts.com/css/switzer	E:/Sites/JusfyRepo/fonts.cdnfonts.com/css/switzer.css	(from https://app.jusfy.com.br/dashboard)
13:13:04	1590/1590	---MC-	200	added ('OK')	text/css	date:Thu,%2023%20Apr%202026%2016:13:04%20GMT	https://fonts.googleapis.com/css2?family=Noto+Sans:wght@300;400;500;600;700;900&display=swap	E:/Sites/JusfyRepo/fonts.googleapis.com/css26ed5.css	(from https://app.jusfy.com.br/dashboard)
13:13:04	3800/3800	---MC-	200	added ('OK')	text/css	date:Thu,%2023%20Apr%202026%2016:13:05%20GMT	https://fonts.googleapis.com/css2?family=Source+Sans+3:ital,wght@0,200..900;1,200..900&display=swap	E:/Sites/JusfyRepo/fonts.googleapis.com/css23568.css	(from https://app.jusfy.com.br/dashboard)
13:13:04	8483/8483	---MCZ	200	added ('OK')	text/html	etag:%22261cff343892c027efe2ebca8425e9192099c89c%22	https://app.jusfy.com.br/window.location.href	E:/Sites/JusfyRepo/app.jusfy.com.br/index-3.html	(from https://app.jusfy.com.br/dashboard)
13:13:05	3627/3627	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2023%20Apr%202026%2016:13:05%20GMT	http://js.hs-scripts.com/47445192.js	E:/Sites/JusfyRepo/js.hs-scripts.com/47445192.js	(from https://app.jusfy.com.br/dashboard)
13:13:05	25512/25512	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2023%20Apr%202026%2016:13:06%20GMT	http://fast.appcues.com/214585.js	E:/Sites/JusfyRepo/fast.appcues.com/214585.js	(from https://app.jusfy.com.br/dashboard)
13:13:05	1584/1584	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Apr%202026%2016:13:06%20GMT	https://www.googletagmanager.com/gtag/js?id=G-5S6PXWKRHK	E:/Sites/JusfyRepo/www.googletagmanager.com/gtag/js.f0102.delayed	(from https://app.jusfy.com.br/dashboard)
13:13:06	423079/423079	---MC-	200	added ('OK')	application/javascript	date:Thu,%2023%20Apr%202026%2015:00:00%20GMT	https://www.googletagmanager.com/gtag/js?id=AW-380889985	E:/Sites/JusfyRepo/www.googletagmanager.com/gtag/jse17d	(from https://app.jusfy.com.br/dashboard)
13:13:06	548469/548469	---MC-	200	added ('OK')	application/javascript	date:Thu,%2023%20Apr%202026%2015:00:00%20GMT	https://www.googletagmanager.com/gtm.js?id=GTM-TLTQGGL	E:/Sites/JusfyRepo/www.googletagmanager.com/gtm4912.js	(from https://app.jusfy.com.br/dashboard)
13:13:08	374689/374689	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2023%20Apr%202026%2016:13:07%20GMT	https://connect.facebook.net/en_US/fbevents.js	E:/Sites/JusfyRepo/connect.facebook.net/en_US/fbevents.js	(from https://app.jusfy.com.br/dashboard)
13:13:08	444043/444043	---MC-	200	added ('OK')	application/javascript	date:Thu,%2023%20Apr%202026%2015:00:00%20GMT	https://www.googletagmanager.com/gtm.js?id=GTM-WT67WWW	E:/Sites/JusfyRepo/www.googletagmanager.com/gtm7e18.js	(from https://app.jusfy.com.br/dashboard)
13:13:09	0/0	---M--	200	added ('OK')	text/plain	date:Thu,%2023%20Apr%202026%2016:13:09%20GMT	https://www.facebook.com/tr?id=216238710266810&ev=PageView&noscript=1	E:/Sites/JusfyRepo/www.facebook.com/tr.14ab93.delayed	(from https://app.jusfy.com.br/dashboard)
13:13:09	2688/2688	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a80-19b10c8d5a0%22	https://track.jusfy.dev/script.js	E:/Sites/JusfyRepo/track.jusfy.dev/script.js	(from https://app.jusfy.com.br/dashboard)
13:13:11	1691313/1691313	---MCZ	200	added ('OK')	text/css	etag:%2244161498b1cf37f5de396a76a20ed0527be23d93%22	https://app.jusfy.com.br/static/css/main.28d97db7.css	E:/Sites/JusfyRepo/app.jusfy.com.br/static/css/main.28d97db7.css	(from https://app.jusfy.com.br/dashboard)
13:13:11	2333/2333	---MCZ	200	added ('OK')	image/svg+xml	etag:%22bf1804439760ce97dbf3223b1386f6add9a9b73a%22	https://app.jusfy.com.br/media/logos/jusfy-azul.svg	E:/Sites/JusfyRepo/app.jusfy.com.br/media/logos/jusfy-azul.svg	(from https://app.jusfy.com.br/dashboard)
13:13:12	640/640	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2016:13:12%20GMT	https://www.googletagmanager.com/ns.html?id=GTM-TLTQGGL	E:/Sites/JusfyRepo/www.googletagmanager.com/ns4912.html	(from https://app.jusfy.com.br/dashboard)
